SLJ,S'L'J',A_ed,A_md,A,β_R (%),A_T (s⁻¹),τ_R (ms)
2H11/2,4F9/2,[185.7162441],[0.],[185.7162441],[0.28324451],[65567.46471973],[0.01525147]
2H11/2,4I11/2,[618.76855478],[0.],[618.76855478],[0.9437128],[65567.46471973],[0.01525147]
2H11/2,4I13/2,[1047.37391519],[0.],[1047.37391519],[1.59739883],[65567.46471973],[0.01525147]
2H11/2,4I15/2,[62902.55730521],[0.],[62902.55730521],[95.93562535],[65567.46471973],[0.01525147]
2H11/2,4I9/2,[812.68577219],[0.],[812.68577219],[1.23946499],[65567.46471973],[0.01525147]
2H11/2,4S3/2,[0.36292825],[0.],[0.36292825],[0.00055352],[65567.46471973],[0.01525147]
4S3/2,4F9/2,[5.91399255],[0.],[5.91399255],[0.03753305],[15756.75978957],[0.06346482]
4S3/2,4I11/2,[302.08288835],[0.],[302.08288835],[1.91716376],[15756.75978957],[0.06346482]
4S3/2,4I13/2,[3915.48618659],[0.],[3915.48618659],[24.8495645],[15756.75978957],[0.06346482]
4S3/2,4I15/2,[10962.70603053],[0.],[10962.70603053],[69.57462179],[15756.75978957],[0.06346482]
4S3/2,4I9/2,[570.57069155],[0.],[570.57069155],[3.6211169],[15756.75978957],[0.06346482]
4F9/2,4I11/2,[533.74828834],[0.],[533.74828834],[3.82827924],[13942.25068906],[0.07172443]
4F9/2,4I13/2,[593.48905235],[0.],[593.48905235],[4.25676647],[13942.25068906],[0.07172443]
4F9/2,4I15/2,[12783.45173389],[0.],[12783.45173389],[91.68858041],[13942.25068906],[0.07172443]
4F9/2,4I9/2,[31.56161449],[0.],[31.56161449],[0.22637388],[13942.25068906],[0.07172443]
