SLJ,S'L'J',A_ed,A_md,A,β_R (%),A_T (s⁻¹),τ_R (ms)
2H11/2,4F9/2,[208.97414736],[0.],[208.97414736],[0.48502684],[43085.06890073],[0.0232099]
2H11/2,4I11/2,[468.98416157],[0.],[468.98416157],[1.0885074],[43085.06890073],[0.0232099]
2H11/2,4I13/2,[686.76811985],[0.],[686.76811985],[1.59398171],[43085.06890073],[0.0232099]
2H11/2,4I15/2,[41059.37804028],[0.],[41059.37804028],[95.29839243],[43085.06890073],[0.0232099]
2H11/2,4I9/2,[660.2658618],[0.],[660.2658618],[1.53247025],[43085.06890073],[0.0232099]
2H11/2,4S3/2,[0.69856985],[0.],[0.69856985],[0.00162137],[43085.06890073],[0.0232099]
4S3/2,4F9/2,[7.55611734],[0.],[7.55611734],[0.07486317],[10093.23785782],[0.09907623]
4S3/2,4I11/2,[222.21806289],[0.],[222.21806289],[2.20165289],[10093.23785782],[0.09907623]
4S3/2,4I13/2,[2431.18257759],[0.],[2431.18257759],[24.0872415],[10093.23785782],[0.09907623]
4S3/2,4I15/2,[6901.29277142],[0.],[6901.29277142],[68.37541004],[10093.23785782],[0.09907623]
4S3/2,4I9/2,[530.98832857],[0.],[530.98832857],[5.26083241],[10093.23785782],[0.09907623]
4F9/2,4I11/2,[529.74019586],[0.],[529.74019586],[5.4467285],[9725.841783],[0.10281886]
4F9/2,4I13/2,[471.99251607],[0.],[471.99251607],[4.85297341],[9725.841783],[0.10281886]
4F9/2,4I15/2,[8682.90479171],[0.],[8682.90479171],[89.27664037],[9725.841783],[0.10281886]
4F9/2,4I9/2,[41.20427936],[0.],[41.20427936],[0.42365772],[9725.841783],[0.10281886]
