6.5	6	1.5	7.5	6	1.5	6500	0.0195	0.1173	1.4316
5.5	6	1.5	6.5	6	1.5	3600	0.0331	0.1708	1.0864
5.5	6	1.5	7.5	6	1.5	10100	0.0282	0.0003	0.3953
4.5	6	1.5	5.5	6	1.5	2150	0.003	0.0674	0.1271
4.5	6	1.5	6.5	6	1.5	5750	0.0004	0.0106	0.7162
4.5	6	1.5	7.5	6	1.5	12250	0	0.1732	0.0099
4.5	3	1.5	4.5	6	1.5	2900	0.1279	0.0059	0.0281
4.5	3	1.5	5.5	6	1.5	5050	0.0704	0.0112	1.2839
4.5	3	1.5	6.5	6	1.5	8650	0.0101	0.1533	0.0714
4.5	3	1.5	7.5	6	1.5	15150	0	0.5354	0.4619
1.5	0	1.5	4.5	3	1.5	3200	0	0.0003	0.0264
1.5	0	1.5	4.5	6	1.5	6100	0	0.0788	0.2542
1.5	0	1.5	5.5	6	1.5	8250	0	0.0042	0.0739
1.5	0	1.5	6.5	6	1.5	11850	0	0	0.3462
1.5	0	1.5	7.5	6	1.5	18350	0	0	0.2211
5.5	5	0.5	1.5	0	1.5	800	0	0.1988	0.0101
5.5	5	0.5	4.5	3	1.5	4000	0.3629	0.0224	0.0022
5.5	5	0.5	4.5	6	1.5	6900	0.2077	0.0662	0.2858
5.5	5	0.5	5.5	6	1.5	9050	0.0357	0.1382	0.0371
5.5	5	0.5	6.5	6	1.5	12650	0.023	0.0611	0.0527
5.5	5	0.5	7.5	6	1.5	19150	0.7125	0.4123	0.0925
3.5	3	1.5	5.5	5	0.5	1150	0.1229	0.0153	0.4017
3.5	3	1.5	1.5	0	1.5	1950	0.0001	0.0058	0
3.5	3	1.5	4.5	3	1.5	5150	0.0121	0.0342	0.0151
3.5	3	1.5	4.5	6	1.5	8050	0.0163	0.0954	0.4277
3.5	3	1.5	5.5	6	1.5	10200	0.0035	0.2648	0.1515
3.5	3	1.5	6.5	6	1.5	13800	0	0.3371	0.0001
3.5	3	1.5	7.5	6	1.5	20300	0	0.1468	0.6266
2.5	3	1.5	3.5	3	1.5	1650	0.0765	0.0503	0.1015
2.5	3	1.5	5.5	5	0.5	2800	0	0.0586	0.1825
2.5	3	1.5	1.5	0	1.5	3600	0.0082	0.004	0
2.5	3	1.5	4.5	3	1.5	6800	0.0004	0.2415	0.3575
2.5	3	1.5	4.5	6	1.5	9700	0.0107	0.0576	0.102
2.5	3	1.5	5.5	6	1.5	11850	0	0.0979	0.0028
2.5	3	1.5	6.5	6	1.5	15450	0	0.1783	0.3429
2.5	3	1.5	7.5	6	1.5	21950	0	0	0.2233
1.5	3	1.5	2.5	3	1.5	350	0.0618	0.035	0
1.5	3	1.5	3.5	3	1.5	2000	0.0028	0.0584	0
1.5	3	1.5	5.5	5	0.5	3150	0	0.0005	0.003
1.5	3	1.5	1.5	0	1.5	3950	0.026	0	0
1.5	3	1.5	4.5	3	1.5	7150	0	0.004	0.0595
1.5	3	1.5	4.5	6	1.5	10050	0	0.2299	0.0558
1.5	3	1.5	5.5	6	1.5	12200	0	0.0927	0.4861
1.5	3	1.5	6.5	6	1.5	15800	0	0	0.0345
1.5	3	1.5	7.5	6	1.5	22300	0	0	0.1272
4.5	5	0.5	1.5	3	1.5	2100	0	0.0208	0.0087
4.5	5	0.5	2.5	3	1.5	2450	0.0124	0.0259	0.0063
4.5	5	0.5	3.5	3	1.5	4100	0.1058	0.0488	0.024
4.5	5	0.5	5.5	5	0.5	5250	0.0308	0.1828	0.0671
4.5	5	0.5	1.5	0	1.5	6050	0	0.0019	0.0025
4.5	5	0.5	4.5	3	1.5	9250	0.0055	0.0314	0.0369
4.5	5	0.5	4.5	6	1.5	12150	0.0147	0.0062	0.0043
4.5	5	0.5	5.5	6	1.5	14300	0.0428	0.0824	0.1128
4.5	5	0.5	6.5	6	1.5	17900	0.078	0.1194	0.3535
4.5	5	0.5	7.5	6	1.5	24400	0	0.019	0.2255
5.5	4	1.5	4.5	5	0.5	2000	0.2906	0.117	0.1328
5.5	4	1.5	1.5	3	1.5	4100	0	0.0234	0.0923
5.5	4	1.5	2.5	3	1.5	4450	0	0.0378	0.0815
5.5	4	1.5	3.5	3	1.5	6100	0.0877	0.1287	0.0159
5.5	4	1.5	5.5	5	0.5	7250	0.0004	0.1539	0.0494
5.5	4	1.5	1.5	0	1.5	8050	0	0.1302	0.0044
5.5	4	1.5	4.5	3	1.5	11250	0.4252	0.0368	0.0122
5.5	4	1.5	4.5	6	1.5	14150	0.0716	0.0131	0.0235
5.5	4	1.5	5.5	6	1.5	16300	0.0003	0.0496	0.0134
5.5	4	1.5	6.5	6	1.5	19900	0.1013	0.2651	0.2594
5.5	4	1.5	7.5	6	1.5	26400	0.9181	0.5261	0.1171
