480.21	50
480.479	-18
480.748	-30
481.016	14
481.285	54
481.554	40
481.822	-16
482.091	-12
482.359	40
482.628	-8
482.897	-16
483.165	-49
483.434	60
483.703	-21
483.971	-40
484.24	16
484.508	1
484.777	68
485.045	-46
485.314	12
485.583	33
485.851	31
486.12	35
486.388	44
486.657	20
486.925	55
487.194	-10
487.462	-10
487.731	49
487.999	76
488.268	-6
488.536	-27
488.805	-20
489.073	38
489.342	21
489.61	24
489.879	21
490.147	41
490.416	41
490.684	-17
490.952	51
491.221	54
491.489	23
491.758	-37
492.026	2
492.295	46
492.563	24
492.831	9
493.1	-22
493.368	16
493.636	-8
493.905	48
494.173	-46
494.442	31
494.71	8
494.978	4
495.247	0
495.515	-16
495.783	70
496.052	35
496.32	-16
496.588	19
496.856	68
497.125	-17
497.393	10
497.661	-27
497.93	3
498.198	47
498.466	14
498.734	5
499.003	-7
499.271	66
499.539	-18
499.807	53
500.075	34
500.344	46
500.612	19
500.88	-16
501.148	69
501.416	53
501.685	-4
501.953	15
502.221	69
502.489	50
502.757	26
503.025	-13
503.294	41
503.562	54
503.83	32
504.098	17
504.366	23
504.634	-1
504.902	48
505.17	33
505.438	50
505.707	83
505.975	79
506.243	72
506.511	22
506.779	89
507.047	106
507.315	121
507.583	73
507.851	113
508.119	106
508.387	109
508.655	74
508.923	117
509.191	131
509.459	124
509.727	114
509.995	132
510.263	190
510.531	214
510.799	115
511.067	227
511.335	237
511.603	293
511.871	284
512.139	255
512.406	410
512.674	453
512.942	597
513.21	676
513.478	854
513.746	1189
514.014	1417
514.282	1785
514.55	2172
514.817	2633
515.085	2874
515.353	3266
515.621	3578
515.889	3863
516.157	4186
516.424	4268
516.692	4669
516.96	4720
517.228	5138
517.496	5184
517.763	5587
518.031	5657
518.299	5827
518.567	6101
518.834	6152
519.102	6641
519.37	7070
519.638	7031
519.905	7521
520.173	7664
520.441	7774
520.709	7812
520.976	7765
521.244	7726
521.512	7429
521.779	7133
522.047	6940
522.315	6897
522.582	6640
522.85	6354
523.118	6651
523.385	6367
523.653	6442
523.921	6563
524.188	6545
524.456	6499
524.723	6946
524.991	6948
525.259	7114
525.526	7206
525.794	7571
526.061	7412
526.329	7519
526.596	7608
526.864	7692
527.132	7733
527.399	7464
527.667	7455
527.934	7375
528.202	7291
528.469	7190
528.737	6843
529.004	6710
529.272	6410
529.539	6255
529.807	5797
530.074	5487
530.341	5219
530.609	4780
530.876	4522
531.144	4102
531.411	3890
531.679	3570
531.946	3228
532.214	3132
532.481	2871
532.748	2708
533.016	2571
533.283	2385
533.55	2392
533.818	2318
534.085	2387
534.353	2421
534.62	2501
534.887	2680
535.155	2863
535.422	3206
535.689	3698
535.956	4299
536.224	5385
536.491	6359
536.758	7552
537.026	9252
537.293	10677
537.56	12846
537.828	14602
538.095	16593
538.362	18432
538.629	20186
538.896	21713
539.164	23125
539.431	23982
539.698	24976
539.965	25868
540.232	26522
540.5	27642
540.767	28367
541.034	29019
541.301	29501
541.568	30443
541.836	31004
542.103	31275
542.37	31833
542.637	32055
542.904	32282
543.171	31768
543.438	31151
543.705	30934
543.972	30619
544.24	30249
544.507	30372
544.774	30158
545.041	29451
545.308	28518
545.575	27535
545.842	26832
546.109	26500
546.376	26569
546.643	26844
546.91	26990
547.177	27957
547.444	27941
547.711	28443
547.978	28804
548.245	28784
548.512	29455
548.779	29067
549.046	29259
549.313	29024
549.58	28837
549.847	28893
550.114	28555
550.381	28841
550.648	28388
550.914	28134
551.181	27783
551.448	27378
551.715	26837
551.982	26269
552.249	25071
552.516	24543
552.783	23247
553.049	21726
553.316	20433
553.583	19179
553.85	17755
554.117	16102
554.383	14952
554.65	13531
554.917	12302
555.184	11303
555.451	10172
555.717	9061
555.984	8323
556.251	7473
556.518	6762
556.784	6016
557.051	5438
557.318	4918
557.585	4534
557.851	4047
558.118	3720
558.385	3311
558.651	2976
558.918	2701
559.185	2602
559.451	2421
559.718	2151
559.985	1957
560.251	1894
560.518	1856
560.785	1769
561.051	1618
561.318	1595
561.584	1455
561.851	1481
562.118	1359
562.384	1332
562.651	1250
562.917	1182
563.184	1174
563.45	1142
563.717	1128
563.984	1172
564.25	1060
564.517	1017
564.783	924
565.05	987
565.316	963
565.583	891
565.849	815
566.116	856
566.382	834
566.648	794
566.915	730
567.181	710
567.448	723
567.714	652
567.981	667
568.247	668
568.513	543
568.78	558
569.046	508
569.313	521
569.579	592
569.845	526
570.112	463
570.378	512
570.644	490
570.911	471
571.177	441
571.443	462
571.71	468
571.976	424
572.242	393
572.509	455
572.775	452
573.041	393
573.307	405
573.574	398
573.84	433
574.106	488
574.372	374
574.639	326
574.905	340
575.171	381
575.437	340
575.703	336
575.97	316
576.236	352
576.502	326
576.768	259
577.034	276
577.3	248
577.567	268
577.833	249
578.099	218
578.365	256
578.631	211
578.897	159
579.163	187
579.429	187
579.695	164
579.961	166
580.227	171
580.494	171
580.76	118
581.026	65
581.292	57
581.558	122
581.824	134
582.09	71
582.356	30
582.622	42
